608_0 	ADC8VBKOVOCRR 	This essay is about the language of Bengali
3502_19 	A16IVTYAYSV3SA 	In 1671 the German mathematician Gottfried Von Leibniz had made a more sophisticated calculator on the basis of Pascal&#39;s machine and by using the wheels and sticks which was able to divide and multiply as well.
3502_21 	A28YA9BQFLXOPT 	He named the machine as Rechoning Machine.
3502_22 	A16IVTYAYSV3SA 	Even if the machine was theoretically good but it did not become popular due to its mechanical inconveniences.
3502_23 	A3F9QBUALMKO1 	Later in 1820 Thomas De Colmar made Leibniz&#39;s machine popular by resolving the problem of Reckoning machine.
3502_24 	A16IVTYAYSV3SA 	After that Charles Babage&#44; a Professor of Mathematics of Cambridge University of England had invented the Difference Engine or the subtracting machine in 1823.
3502_25 	A16IVTYAYSV3SA 	To make it a little easy--
3502_26 	A3F9QBUALMKO1 	The word Computer came from The Greek word Compute.
3502_27 	A3F9QBUALMKO1 	The word Compute means accounting or calculating.
3502_28 	A3F9QBUALMKO1 	And the meaning of the word &#39;Computer&#39; is Calculating machine.
3502_29 	A3F9QBUALMKO1 	But now the computer cannot be called Calculating machine only.
3502_31 	A28YA9BQFLXOPT 	The first computer came to our country on the year 1964.
3502_32 	A16IVTYAYSV3SA 	Computer System
3502_33 	A2HFASY1SVXPSP 	A system is a combination of some integrated devices which work to serve some general purposes.
3502_34 	A2HFASY1SVXPSP 	The components of computer system are as follows:
3502_37 	A16IVTYAYSV3SA 	3. Humanware or the users
3502_38 	ADC8VBKOVOCRR 	4. Data/Information
3502_40 	A16IVTYAYSV3SA 	All of the machines&#44; machineries and devises of a computer which have their own external forms are called hardware.
3502_41 	A16IVTYAYSV3SA 	The computer hardware can primarily be divided into three parts:
3502_43 	A16IVTYAYSV3SA 	B* System Unit: Hard Disk&#44; Mother Board&#44; AGP Card etc.
3502_44 	A16IVTYAYSV3SA 	C* Output Devices: Monitor&#44; Printer&#44; Disk&#44; Speaker etc.
3502_46 	A31II4QBW2DURA 	Sequentially set instructions for solving any problem or work is called &quot;Program&quot; in computer language.
3502_47 	A16IVTYAYSV3SA 	Software is a program or programming systems which enable the computer hardware and the user to generate a communication between them and thus to make the hardware work for the users.
3502_48 	A3KUMU0O6YW08U 	Computer software mainly can be divided into two categories.
3502_49 	A3KUMU0O6YW08U 	a) System software: System software co-ordinates different applications of different units of software and maintains  balance in successful flow of data from the hardware which maintains the actual performance of the computer.
3502_50 	A3KUMU0O6YW08U 	b) Application software: The programme used to solve application related  problems or the programme used for data encryption is known as application software.
3502_51 	A16IVTYAYSV3SA 	Different types of ready made software are available in the market like the commercial products to solve applied problems which are usually called package program.
3502_52 	A3KUMU0O6YW08U 	Humanware or users.
3502_53 	A3KUMU0O6YW08U 	THE WORK FORCE OR PEOPLE INVOLVED COLLECTION OF DATA&#44;PROGRAMMING AND EXPERIMENTATION&#44; OPERATING COMPUTER AND DESCRIBING ITS PROGRAMME&#44; SYSTEM DESIGNING&#44;RECORDING AND UPDATION&#44; CO-ORDINATING BETWEEN COMPUTER HARDWARE AND SOFTWARE ETC ARE KNOWN AS HUMANWARE.
3502_55 	A1D39ISETGHJB 	The smallest unit of Information is called data.
3502_56 	A1D39ISETGHJB 	Data is unorganized Raw Fact. Data are mainly two types-
3502_57 	A1D39ISETGHJB 	a) Numeric Data
3502_58 	A1D39ISETGHJB 	For example - 25&#44; 100&#44; 456 etc.
3502_60 	A1D39ISETGHJB 	Example - names of Man&#44; country&#44; etc.&#44; job&#44; nations or pictures&#44; sound and date etc.
3502_61 	A1D39ISETGHJB 	Operating system
3502_62 	A2LG0SJYIUIRNC 	Operating system is a software which control computer execution and which control the work like scheduling&#44; debugging&#44; input/output control&#44; accounting&#44; compilation&#44; storage&#44; data management and other related work.
3502_63 	A1D39ISETGHJB 	Currently most used operating systems used in micro computer or PC are-
3502_66 	A3F9QBUALMKO1 	Computer has lots of uses&#44;
3502_67 	A2HFASY1SVXPSP 	It has got a wide use in various sectors starting from domestic works to different essential purposes like commercial&#44; scientific works.
3502_69 	A2HFASY1SVXPSP 	It plays an important role in health and human welfare.
3502_70 	A3F9QBUALMKO1 	In one word computer is a machine which is able to do almost all the work.
3502_72 	A2HFASY1SVXPSP 	On the basis of functionality computers can be classified into two main divisions.
3502_73 	A2HFASY1SVXPSP 	general-purpose computers
3502_74 	A2HFASY1SVXPSP 	Special purpose computers
3502_75 	A16IVTYAYSV3SA 	Again&#44; a computer can further be divided into three types according to its structure and usages.
3502_76 	A16IVTYAYSV3SA 	Analog Computers.
3502_77 	A16IVTYAYSV3SA 	Digital Computers.
3502_78 	A16IVTYAYSV3SA 	Hybrid Computers.
3502_79 	A2HFASY1SVXPSP 	Digital computers can be divided into four groups on the basis of its size&#44; capacity&#44; price and importance of usage.
3502_82 	A16IVTYAYSV3SA 	Micro Computers.
3502_83 	A16IVTYAYSV3SA 	Super Computers.
3502_84 	A16IVTYAYSV3SA 	The complete classifications of the computers are shown below:
3502_85 	ADC8VBKOVOCRR 	Analog Computer
3502_86 	ADC8VBKOVOCRR 	The computer that can measure one physical quantity with respect to another quantity is called Analog Computer.
3502_87 	ADC8VBKOVOCRR 	It can record temperature or other continuously changing physical property.
3502_88 	ADC8VBKOVOCRR 	The speedometer of motor vehicle is an excellent example of Analog Computer.
3502_89 	A28YA9BQFLXOPT 	Digital Computer
3502_90 	ADC8VBKOVOCRR 	The computer which solves problem by using digits is called Digital Computer.
3502_91 	A2LG0SJYIUIRNC 	It can do any mathematical addition and subtraction&#44; multiplication&#44; and division.
3502_93 	A2LG0SJYIUIRNC 	Hybrid computer is a computer which has characteristics of both analog and digital computer.
3502_94 	A2LG0SJYIUIRNC 	It is used for scientific research .
3502_95 	A28YA9BQFLXOPT 	Therefore it can be said that from the side of technology that Hybrid Computer is a small part of Analogue and Digital Computer.
3502_96 	A28YA9BQFLXOPT 	Mainframe Computer
3502_97 	A2HFASY1SVXPSP 	Mainframe computer is a large computer which can be connected with many smaller computers to avail many works ar the same time.
3502_98 	A16IVTYAYSV3SA 	This computer is useful for scientific researches&#44; high level technological analysis and large industrial organizations.
3502_99 	A16IVTYAYSV3SA 	The Department of Statistic of Dhaka University and The Atomic Energy Commission of Bangladesh use this sort of computers-- cyber 170&#44; ibm-4300.
35204_0 	AKZBNT298EBKI 	Results of various data creation&#44; management and collection can be considered information that when sent to a human&#39;s brain increases his knowledge.
35204_1 	A2HFASY1SVXPSP 	Information&#44; if taken as a conception&#44; has many meanings in our daily and technical life.
35204_2 	AKZBNT298EBKI 	In general&#44; the concept of information is very closely related to some other concepts: binding&#44; communication&#44; control system&#44; data&#44; structure&#44; direction&#44; theory of meaning&#44; stimulation&#44; construction&#44; and knowledge representation
35204_5 	A2HFASY1SVXPSP 	Information broker
35204_6 	AZVAVU4OYMG2A 	Information entropy
35204_7 	AAF85ZPWB65DY 	Information Geometry
35204_8 	A2HFASY1SVXPSP 	Information superhighway
35204_9 	A2HFASY1SVXPSP 	Information Mapping
3563_10 	AKZBNT298EBKI 	On top of this&#44; the attacks of the French in nineteenth century created extreme chaos in this country.
3563_11 	AKZBNT298EBKI 	The revolting independence movement tore apart most of the kingdoms and politically created agitation in the country.
3563_13 	A3F9QBUALMKO1 	Administrative divisions
3563_15 	AKZBNT298EBKI 	Spain is situated on the Iberian Peninsula of south-western Europe.
3563_16 	AAF85ZPWB65DY 	On the west&#44; Spain borders Portugal; On the northeast&#44; it borders France and Andorra.
3563_17 	A16IVTYAYSV3SA 	To the North and South of Spain there are Bay of Biscay and the Gibraltar respectively&#44; Morocco lies to South of Gibraltar and the Atlantic Ocean is situated at the West and South-West part of this country.
3563_18 	A16IVTYAYSV3SA 	The Mediterranean Sea is situated in the East and South-East part of this country.
3563_19 	A2HFASY1SVXPSP 	The coastal lines of Spain is about 7&#44;800 kms long and 5&#44;05&#44;900 square kilometers in area.
3563_22 	AAF85ZPWB65DY 	The population of Spain is 80.2717 million; and they are mainly Catholic.
3563_24 	A2HFASY1SVXPSP 	The official language of the country is Castile Spanish
3563_25 	A2HFASY1SVXPSP 	Other languages in Spain are Asturian&#44; Catalan&#44; Basque and Galician
3563_26 	AKZBNT298EBKI 	96% citizens in the whole country are Catholic Christians.
3563_28 	AKZBNT298EBKI 	Information source
3563_29 	AZVAVU4OYMG2A 	external communication
3563_31 	AKZBNT298EBKI 	Subject category: Europe
3567_10 	A3F9QBUALMKO1 	In the medieval period&#44; the states of Dukes and Princes combined and built France under one ruler.
3567_11 	A2JPXAF2MC24F7 	Now France is under its fifth republican phase.
3567_12 	A3F9QBUALMKO1 	The journey of this republic was started on 28th September 1958.
3567_13 	AJJ356KWWQI5 	The development of central tendencies in politics and non governmental institutions are the basic characteristics of this New France.
3567_14 	A16IVTYAYSV3SA 	France is one of the main members of the European Union.
3567_15 	A3F9QBUALMKO1 	It is one of the five permanent members of the UN Security Council and has the power to process VETO.
3567_17 	A16IVTYAYSV3SA 	The physical geography of France is versatile.
3567_18 	A16IVTYAYSV3SA 	In the North of the country lie the coastal lowlands and stretches of plain lands.
3567_19 	AJJ356KWWQI5 	South Central France has mountaneous terrain.
3567_21 	A16IVTYAYSV3SA 	All the border areas of France are mountainous and as a result&#44; apart from its North-Eastern borders&#44; the whole country is demarcated by a natural borders of mountains.
3567_22 	A3F9QBUALMKO1 	The major Rivers of France are the Seine&#44; the Loire&#44; the Garonne&#44; and the Rhone.
3567_23 	A16IVTYAYSV3SA 	Administrative Regions
3567_24 	A2HFASY1SVXPSP 	France is an urban area based country.
3567_25 	A2HFASY1SVXPSP 	About two-thirds of the total population live in the urban areas.
3567_26 	A16IVTYAYSV3SA 	Paris (Pari in French) is the capital and the most important city of France.
3567_27 	A2HFASY1SVXPSP 	Paris metropolitan area&#44; France&#39;s most densely populated region&#44;  has a population of almost one crore
3567_28 	A2HFASY1SVXPSP 	This is one of the most important trade and cultural centres of the world.
3567_29 	A2JPXAF2MC24F7 	In mid-nineteenth century during Baron Georges Eugne&#39;s period  urban renewal of Paris with wide roads and other plans was conducted.
3567_30 	A16IVTYAYSV3SA 	Among other big cities of France there is Lyon which is situated at the valley of Rhone that connects the North sea and Mediterranean sea.
3567_31 	A28YA9BQFLXOPT 	Marseille&#44; is a international port located on the bank of the Mediterranean Sea&#44; the Greek and Carthaginian businessmen came to this country on 6BC.
3567_33 	A2HFASY1SVXPSP 	Bordeaux is one of the main cities on the Garonne River in southwest France.
3567_35 	A2LG0SJYIUIRNC 	The people of France are among the healthiest&#44; wealthiest&#44; and best-educated people in the world.
3567_36 	A2JPXAF2MC24F7 	There is a complete social welfare system in the country that guarantees minimum standard of life and health for every citizen of France.
3567_37 	A2HFASY1SVXPSP 	The majority of the French peoples speak French
3567_38 	A2JPXAF2MC24F7 	Principal religion of the people here is the Roman Catholic tradition of Christianity.
3567_40 	A2JPXAF2MC24F7 	The French culture is world-famous; in the development and spreading of art&#44; literature&#44; science&#44; anthropology&#44; philosophy and social sciences the French culture has played a great role.
3567_41 	A2HFASY1SVXPSP 	Paris is the heart of the western cultural life since the Middle Age.
3567_42 	A28YA9BQFLXOPT 	The cooking and the fashion of France are admired by people all over the world.
3567_45 	ADC8VBKOVOCRR 	For generations&#44; reformative and revolutionary movements happened in the other parts of the world tempted with the idealism of French Revolution.
3567_47 	A2HFASY1SVXPSP 	France has historically been an important producer of agricultural products; basically they export crops&#44; wine&#44; cheese and other agricultural products to Europe and other parts of the world.
3567_48 	A3F9QBUALMKO1 	France is also a leading country in the world in heavy industry; motor vehicles&#44; electronic machinery and chemicals are manufactured here.
3567_49 	A3F9QBUALMKO1 	But now a day&#44; different service industries like banking&#44; retail&#44; medical and tourism have also started contributing to Frances economy.
3567_51 	ADC8VBKOVOCRR 	France is one of the oldest countries of the Western World.
3567_52 	ADC8VBKOVOCRR 	Its history is rich and multi-coloured.
3567_53 	A3F9QBUALMKO1 	There is not much found about the first people of France.
3567_54 	A28YA9BQFLXOPT 	The pictures obtained from the cave of Southern-Western France are expected to be of 15&#44;000 BC.
3567_55 	A16IVTYAYSV3SA 	During the 8th Century BC the Clets and other tribes had started to enter and reside in France.
3567_57 	A3F9QBUALMKO1 	Ancient Romans captured France in the 1st century and ruled this region until the fall of the Roman Empire in 5th century.
3567_58 	A16IVTYAYSV3SA 	After the fall of Rome&#44; a number of dynasties ruled over France.
3567_59 	A16IVTYAYSV3SA 	In the middle age the supremacy of the monarchy was reduced and the local feudal rulers were emerged.
3567_60 	A16IVTYAYSV3SA 	The powers of the monarchy grew once again during the periods from 14th to 18th Century AD; during this time the kings and their ministers had successively established a strong central bureaucracy and large military forces.
3567_61 	A3F9QBUALMKO1 	The monarchy was ruined in the French Revolution in 1789 and France was involved in political unrest for a long time.
3567_62 	A3F9QBUALMKO1 	Nevertheless&#44; France was established as a coherent administrative nation at the time of Napoleon Bonaparte.
3567_63 	A2JPXAF2MC24F7 	In the 19th century and at the beginning of 20th century&#44; the strength and economic prosperity of the French improved.
3567_64 	A3PSUT241Y12MZ 	During this time&#44;France was able to build up a colonial empire all over the world rivaling the British colonial empire.
3567_65 	A2JPXAF2MC24F7 	But almost the whole of the First World War took place in the French soil&#44; as such the country has to suffer huge losses.
3567_66 	A35GMY72E6AKNS 	During the Second World War when Germany occupied Northern France&#44; a temporary government was established at Vichy in Central France.
3567_67 	A3PSUT241Y12MZ 	After the Second World War&#44; France again rebuilt it&#39;s collapsed economy and emerged as one of the important industrialized country of the world.
3567_69 	A3PSUT241Y12MZ 	The anti France movement in Algeria in 1958 was pushing France towards civil war.
