787_0 	A15YKQU4TT7169 	Andhra pradesh is a state in india.
56375_10 	AI5E50BGAUZH2 	In humans&#44; the vagina is built as a muscle tube
56375_11 	A3RS82XNENF2NT 	it extends from cervix to malav
56375_12 	AI5E50BGAUZH2 	When the vagina is not excited it will be approximately 6 to 7.5cm.
56375_15 	A3RS82XNENF2NT 	due to its elasticity&#44;it streches maximally during intercourse and during delivery of child
56375_16 	AI5E50BGAUZH2 	The path of vagina in a woman standing erect will be at an angle of 45 degrees in the front and above.
56375_17 	A3RS82XNENF2NT 	opening of vagina is present behind the urethral orifice
56375_18 	A3RS82XNENF2NT 	upper part of vagina is seperated from urethra by a peritonial fold
56375_20 	A1Z53763UXALP 	Vaginal fluids are mainly released by Bartholin duct.
56375_21 	A1WCVMMFKMAB0C 	They keep the vaginal passage wet.
56375_22 	A3V7G0CFREWGTP 	during the time of ovum release&#44; these secretions become thin having acidic quality&#44; help the sperms to live for a long time
56375_23 	A3V7G0CFREWGTP 	the vaginal path is covered by a thin mucus membrane called virginity membrane(hymen)
56375_25 	A1Z53763UXALP 	We cannot determine that a girl is virgin by presence or absense of Hymen.
56375_26 	A1Z53763UXALP 	Many times Hymen remains intact even after intercourse.
56375_27 	A3V7G0CFREWGTP 	the hymen may tear off due to certain types of exercises&#44; accidents and so on
56375_30 	A3J1PP96QX14U0 	The blood and other bleeding from the vagina are the wastes that go out of the body every month during the menstrual cycle.
56375_31 	A30DCB3TFOQO3B 	Some women use soft sanitary napkins that can absorb these secretions.
56375_33 	A30DCB3TFOQO3B 	At the time of child birth&#44; vagina  provides the channel to the out side world from mother&#39;s uterus.
56375_36 	A1UX3BQYCDI1ZV 	Due to the presence of many nerves inside the vagina&#44; lot of pleasure is experienced during sexual intercourse.
56375_37 	A30DCB3TFOQO3B 	During intercourse&#44; stimulation of vagina especially clitoris produces more secretions .
56375_38 	A30DCB3TFOQO3B 	These decrease the friction in the vagina during intercourse.
56375_40 	A3J1PP96QX14U0 	When there is a full arousal the vagina walls get bigger and become like a hole.
56375_41 	A3RS82XNENF2NT 	the muscles in the wall of vagina extends depending on the length of the penis and acts according the man&#39;s interest by contracting and relaxing
56375_42 	A3001PT6PJLZJL 	by this even a small vagina can take pennis of big size .
56375_45 	A3J1PP96QX14U0 	This will be at the beginning of the vagina and lengths up to 5 cms.
56375_46 	A3001PT6PJLZJL 	during sex&#44; some women experience ultimate pleasure when this g.spot is penetrated.
56375_47 	A3001PT6PJLZJL 	due to this some women even reach orgasm.
56375_48 	A3J1PP96QX14U0 	Some of the scientist don&#39;t agree that there is G Spot
56375_51 	A1WCVMMFKMAB0C 	Even though no special care is taken in general  will be very clean.
56375_52 	A1G9LNGGD9IP1X 	Doctors don&#39;t encourage any use of creams.
56375_53 	A3J1PP96QX14U0 	In a healthy Vagina&#44; there is some good bacteria which stays
56375_55 	A3J1PP96QX14U0 	By some reason if there is any imbalance in this there will be infections
56375_56 	A3J1PP96QX14U0 	Cervaclum is a tool used by the doctors to check the internal parts of a women
56375_57 	A3J1PP96QX14U0 	House ever tests will be conducted by taking the sample and putting it on a glass sample
56375_61 	A3V7G0CFREWGTP 	any kind of swelling inside the vagina should be recognized as abnormal
56375_62 	A3V7G0CFREWGTP 	the most common glands are bartelin glands
56375_63 	A3V7G0CFREWGTP 	this swelling occurs when the tubes that carry the liquid from the bartholin glands are closed
56375_65 	A3J1PP96QX14U0 	The Cervical cancer is very rare and that occurs to elder women of 70 years.
56375_67 	A3RS82XNENF2NT 	discharge is present normally in every cervix
56375_68 	A3V7G0CFREWGTP 	they are clear&#44; without any smell
56375_70 	AI1HQO6HZCVT7 	these liquids are having bad odour with white or red color.
56375_72 	A1WCVMMFKMAB0C 	When mucus layer of vagina is damaged then  wounds will happen.
56375_73 	A1WCVMMFKMAB0C 	This is generally because of rupture.
56375_75 	A3J1PP96QX14U0 	Diseases like Syphilis there wont be any pain
56375_76 	A1WCVMMFKMAB0C 	Ganeria like diseases will cause pain in urine.
56375_77 	A1WCVMMFKMAB0C 	AIDS which will be transmit through vagina will  not create any pain.
56375_78 	AI1HQO6HZCVT7 	these diseases can be cured easily
5727_101 	A1Z53763UXALP 	Prajarajyam party&#39;s flag
5727_103 	AI5E50BGAUZH2 	It mainly has three colours.
5727_104 	A1Z53763UXALP 	A third of the flag is White.
5727_106 	A1Z53763UXALP 	Joining these two in center ther is a Red colored circular shaped sun.
5727_110 	AI5E50BGAUZH2 	A page about Chiranjeevi in Spanish weekly
5727_111 	A3J1PP96QX14U0 	Special wiki page on Golimar movie
5727_114 	A3J1PP96QX14U0 	List of Chirnajeevi&#39;s films
5727_115 	A3J1PP96QX14U0 	Chiranjeevi&#39;s life history
5727_119 	A3S0F1GABMBS9P 	Chapter: Famaous people from Andhra
5727_120 	AI5E50BGAUZH2 	Category: Telugu movie actors
5727_121 	AI5E50BGAUZH2 	Category: Nandi best actors
5727_124 	A3S0F1GABMBS9P 	Chapter: Famous persons from West Godavari
5727_125 	AI5E50BGAUZH2 	Category: Andhra Pradesh political leaders
5727_126 	AI5E50BGAUZH2 	Category: Film actors in politics
5740_100 	A1OK784ABG9Y36 	Lot of effort is their while developing this one here are   the two situations explained :
5740_101 	A1OK784ABG9Y36 	First developed Red Heart Linux.
5740_102 	A1OK784ABG9Y36 	Most it contain Gega Byte Kanon / To estimate the capacity of Linux &#44;With this amount only it moves .
5740_104 	A1Z53763UXALP 	Kernal code is 8% of the total source code.
5740_105 	A2SUFIYSQCMJ5T 	For this type of big source code development General companies like COCOMO(constructive cost model&#44; COCOMO) were been estimated the total as 1.08 billion dollars (according to 2002 sensex).
5740_106 	A2SUFIYSQCMJ5T 	So it would be equal to Five thousand crore rupees!
5740_107 	A1Z53763UXALP 	When the same estimate is made by Debian&#44; the source code of about 55 million lines costs 1.9 billion dollars(in 2002 exchange rates).
5740_111 	A1Z53763UXALP 	Previously using Linux needed a lot of computer knowledge. But now various distribution companies has simplified its usage.
5740_112 	A1Z53763UXALP 	Historically Linux users are more technically advanced than Windows or Mac users because they have internal system usage information available to them.
5740_114 	AMKGJUEEY6ZCH 	By the previous discussion&#44; Linux is said to be not a difficult operating system to use&#44; many applications and technology is introduced and made Linux to use easily&#44; this available to all types of users presently.
5740_115 	AMKGJUEEY6ZCH 	Nowadays in the field of servers&#44; web services&#44; photo editing softwares are in more demand.
5740_116 	AN9IFNKPF7N1I 	The desktop publishing is increased slowly and having more customers.
5740_117 	AN9IFNKPF7N1I 	The usage is very easy and it is part of market.
5740_119 	A3HKO3GZVZO3I0 	Day by day the share of Linux desktop is increasing  speedily in the market.
5740_120 	AMKGJUEEY6ZCH 	According to Market research company IDC in 2002 total 25% of servers and 2.8% of desktops works on Linux.
5740_121 	AMKGJUEEY6ZCH 	Other distributions like Knoppix can be used directly from CD.
5740_122 	AMKGJUEEY6ZCH 	This can be used and accessed directly from RAM and without installing it on hard drive.
5740_124 	AH5BVSXF5DYYD 	No changes will be made to harddrive.
5740_125 	AH5BVSXF5DYYD 	Small distrubtions like tomsrtbt will work from small space devices like floopy with out making any changes to harddrive.
5740_127 	AI5E50BGAUZH2 	Many compilers are available for Linux
5740_129 	AI1HQO6HZCVT7 	GCC can compile different languages like C&#44; C plus plus and JAVA.
5740_130 	AI5E50BGAUZH2 	Apart from the compiler&#44; there are many integrated environments.
5740_131 	AI5E50BGAUZH2 	Among these&#44; few are Ajanta&#44; KDevelop&#44; NetBeans&#44; Glade Eclipse&#44; and well renowned Wim (or Vim)&#44; EMax.
5740_134 	AI5E50BGAUZH2 	Normally all these groups form with the name Linux User Group.
5740_135 	AI5E50BGAUZH2 	In short form it is known as LUG.
5740_136 	AI5E50BGAUZH2 	For example look at Hyderabad Linux User Group blog
5740_137 	AI5E50BGAUZH2 	They do business through trade supply organizations and money collection agencies
5740_141 	AI5E50BGAUZH2 	KDE is the short form of K Desktop Environment.
5740_144 	A1WCVMMFKMAB0C 	KDE is combination of our computer screen and various   widgets.
5740_146 	A1UX3BQYCDI1ZV 	e-mail of Linus regarding Linux in the groups of comp.os.minix
5740_147 	A1UX3BQYCDI1ZV 	Linux facts&#44; talk by Lars Wirzenius at Linux Expo in 1998
5740_149 	ADMENGADDLNDK 	The pronunciation of LINUX as described bu Linus in the group comp.os.linux
5740_151 	A3J1PP96QX14U0 	More than a Giga byte. GSU/LINUX size is compared
5740_152 	A3J1PP96QX14U0 	An article in techweb.com about the usage of LINUX
5740_169 	A8VHPYIT5L7EA 	List of LINUX distribution companies
5740_170 	A8VHPYIT5L7EA 	Similarities of Linux distribution companies
5740_206 	AI5E50BGAUZH2 	Category: Telugu in Computer
5897_103 	A1G9LNGGD9IP1X 	1975: appointed as director of youth congress.
5897_104 	AI5E50BGAUZH2 	1980: First time appointed as Minister of State for Rural Development
5897_106 	AI5E50BGAUZH2 	1982: Appointed as Education Minister in the State Cabinet
5897_107 	AI5E50BGAUZH2 	1983: Appointed as President of PCC (until 1985)
5897_108 	AI5E50BGAUZH2 	1998: Appointed as President of PCC for the second time (until 2000)
5897_109 	A2VAQFXBLP1HAF 	1999:He is elected as the opposition leader of Legislative assembly.
5897_111 	AI5E50BGAUZH2 	2009: Became Chief Minister of Andhra Pradesh for the second time.
5897_113 	AI5E50BGAUZH2 	1978: Elected as Assembly Member for the first time from Pulivendula
5897_114 	AI5E50BGAUZH2 	1983: Elected as Assembly Member for the second time from Pulivendula
5897_116 	AI5E50BGAUZH2 	1989: Elected as Loksabha Member for the first time from Cudappah constituency.
5897_117 	AI5E50BGAUZH2 	1991: Has won for the second time from Cuddappah constituency.
5897_118 	A3J1PP96QX14U0 	1996: Victory from Cuddapah Constituency for the third time
5897_119 	A3J1PP96QX14U0 	1998: Victory from Cuddapah Constituency for the fourth time
5897_121 	A3B48GWF4518EC 	2004: For the fifth time he was elected as MLA from Pulivendula.
5897_122 	A1UX3BQYCDI1ZV 	2009: Hat-trick victory as Member of Legislative Assembly for the second time and elected for the sixth time from Pulivendula.
5897_128 	A3J1PP96QX14U0 	Group: Andhra Pradesh Chief Ministers
5897_129 	A3J1PP96QX14U0 	Group: Andhra Pradesh State ministers
5897_132 	A3J1PP96QX14U0 	Group: 9th Lok Sabha Members
5897_133 	A3J1PP96QX14U0 	Group: 10th Lok Sabha Members
5897_134 	A3J1PP96QX14U0 	Group: 11th Lok Sabha Members
5897_136 	ADMENGADDLNDK 	Class: Andhra Pradesh PCC Chairperson
5897_137 	A3T1KZYNIUW9IN 	group:prominent people of cuddapha district
5897_138 	ADMENGADDLNDK 	Class: Political leaders of Andhra Pradesh.
60083_45 	AI5E50BGAUZH2 	betel leaf bajji (betel leaf fritter)
60083_46 	AI5E50BGAUZH2 	banana bajji (banana fritter)
60083_47 	AI5E50BGAUZH2 	Green chilli bajji (green chilli fritter)
60083_50 	APDEI7F51RYRG 	punugu&#44;which is made out of some kind of flour.
60083_56 	A3J1PP96QX14U0 	Pala Kova (Sweet made of Milk)
60083_67 	A3J1PP96QX14U0 	Plain sweet papers rolled to make a sweet
60083_84 	AI5E50BGAUZH2 	Junnu gaddi (China grass) Halva
60083_99 	AE2CDTF7VQXCE 	&quot;bobbatlu&quot; are sweets
63528_10 	A3QL2TAO2U5TM9 	Nearly 9 crore people are using this language.
63528_11 	A3RS82XNENF2NT 	three lakh people are using it as their first language
63528_13 	A3QL2TAO2U5TM9 	English vocabulary used in India is known for its greatness. Rajaji says that English language is a gift given by Saraswathidevi.
63528_14 	A3RS82XNENF2NT 	today recognizing the importance of english language &#44;many people are learning it by the way of spoken language courses
63528_15 	A3QL2TAO2U5TM9 	Countries which use English the most
63528_18 	A1WCVMMFKMAB0C 	English words spoken by Telugu people
63528_19 	A3V7G0CFREWGTP 	English words to be added to the Telugu dictionary.
63528_20 	A3V7G0CFREWGTP 	As the number of words in the dictionary increase&#44; that language becomes powerful.
63528_21 	A3V7G0CFREWGTP 	the Telugu dictionary has become lean because of the opposition that those words belong to foreign language&#44; though some of them have clung to the people.
63528_23 	A3V7G0CFREWGTP 	If at all the meanings of the above English words are to be said&#44; people use Sanskrit words but they don&#39;t use Telugu words.
63528_24 	A3V7G0CFREWGTP 	they feel ashamed to use it.
63528_25 	A3V7G0CFREWGTP 	the words created by Telugu people&#44; however vulgar and mean we may feel about them&#44; those words have to be included in the dictionary.
63528_27 	A1WCVMMFKMAB0C 	We should not leave the words.
63528_29 	A3V7G0CFREWGTP 	Thousands of Urdu and English words have come into the usage of Telugu people.
63528_30 	A3V7G0CFREWGTP 	Most commonly used English words by Telugu people in their day to day life.
63528_31 	A3DU2EWFUGQCX4 	Abortion&#44; absent&#44; accelerator&#44; accident&#44; account&#44; ass&#44; acknowledgment&#44; acre&#44; act&#44; action&#44; actor&#44; address&#44; adjustment&#44; admires&#44; admission&#44; advance&#44; affection&#44; affidavit&#44; aftrol&#44; age&#44; agency&#44; agent&#44; agreement&#44; air&#44; air pump&#44; alarm&#44; album&#44; alcohol&#44; algebra&#44; allotment&#44; allowance&#44; ambassador&#44; amen&#44; anchor&#44; angle&#44; anniversary&#44;
